2018-09-04 14:05:52,355 - root - INFO - ############################### START ###############################
2018-09-04 14:05:55,024 - root - INFO - SUCCESS    Start a new browser: chrome, Spend 2.5739998817443848 seconds
2018-09-04 14:05:56,164 - root - INFO - SUCCESS    Set browser window maximized, Spend 1.1399998664855957 seconds
2018-09-04 14:05:59,353 - root - INFO - SUCCESS    Navigated to http://t.itaojin.cn, Spend 3.1530001163482666 seconds
2018-09-04 14:06:00,854 - root - INFO - SUCCESS    Clicked element: <class->login-btn>, Spend 1.5 seconds
2018-09-04 14:06:00,958 - root - INFO - SUCCESS    Clicked element: <class->register-status>, Spend 0.10399985313415527 seconds
2018-09-04 14:06:01,042 - root - INFO - SUCCESS    Clear and type element: <class->phone> content: 1398089145011, Spend 0.08300018310546875 seconds
2018-09-04 14:06:01,108 - root - INFO - SUCCESS    Clear and type element: <class->password> content: 123456, Spend 0.06599974632263184 seconds
2018-09-04 14:06:01,168 - root - INFO - SUCCESS    Clicked element: <css->#customer-login > div > div > form > dl.btn > dd > input>, Spend 0.059000253677368164 seconds
2018-09-04 14:06:06,186 - root - INFO - SUCCESS    Get current window title, Spend 0.01699972152709961 seconds
2018-09-04 14:06:06,246 - root - INFO - SUCCESS    Get attribute element: <css->body > div.modal.fade.in > div > div > div.modal-body > form > div.btn-box > input>,attribute: value, Spend 0.04900002479553223 seconds
2018-09-04 14:06:07,277 - root - INFO - SUCCESS    Get attribute element: <css->body > div.modal.fade.in > div > div > div.modal-body > form > div.btn-box > input>,attribute: value, Spend 0.029999732971191406 seconds
2018-09-04 14:06:08,316 - root - INFO - SUCCESS    Get attribute element: <css->body > div.modal.fade.in > div > div > div.modal-body > form > div.btn-box > input>,attribute: value, Spend 0.03699994087219238 seconds
2018-09-04 14:06:09,350 - root - INFO - SUCCESS    Get attribute element: <css->body > div.modal.fade.in > div > div > div.modal-body > form > div.btn-box > input>,attribute: value, Spend 0.031999826431274414 seconds
2018-09-04 14:06:10,386 - root - INFO - SUCCESS    Get attribute element: <css->body > div.modal.fade.in > div > div > div.modal-body > form > div.btn-box > input>,attribute: value, Spend 0.03500008583068848 seconds
2018-09-04 14:06:11,404 - root - INFO - SUCCESS    Get attribute element: <css->body > div.modal.fade.in > div > div > div.modal-body > form > div.btn-box > input>,attribute: value, Spend 0.016000032424926758 seconds
2018-09-04 14:06:12,440 - root - INFO - SUCCESS    Get attribute element: <css->body > div.modal.fade.in > div > div > div.modal-body > form > div.btn-box > input>,attribute: value, Spend 0.03400015830993652 seconds
2018-09-04 14:06:13,478 - root - INFO - SUCCESS    Get attribute element: <css->body > div.modal.fade.in > div > div > div.modal-body > form > div.btn-box > input>,attribute: value, Spend 0.03600001335144043 seconds
2018-09-04 14:06:14,489 - root - INFO - SUCCESS    Get attribute element: <css->body > div.modal.fade.in > div > div > div.modal-body > form > div.btn-box > input>,attribute: value, Spend 0.009000062942504883 seconds
2018-09-04 14:06:15,666 - root - INFO - SUCCESS    Clicked element: <css->body > div.modal.fade.in > div > div > div.modal-body > form > div.btn-box > input>, Spend 0.1770002841949463 seconds
2018-09-04 14:06:18,836 - root - INFO - SUCCESS    Click element: <class->icon-icon-test> open a new window and swich into, Spend 0.1530001163482666 seconds
2018-09-04 14:06:21,714 - root - INFO - SUCCESS    Get current window title, Spend 2.875999927520752 seconds
2018-09-04 14:06:32,129 - root - INFO - SUCCESS    Clicked element: <css->.icon-call>, Spend 0.07599997520446777 seconds
2018-09-04 14:06:35,338 - root - INFO - SUCCESS    Closed all window and quit the driver, Spend 2.0859999656677246 seconds
2018-09-04 14:06:35,339 - root - INFO - ###############################  End  ###############################
